,Message Type,Time,Name,Speed,Heading,Latitude,Longitude,Altitude,DistanceDriven,LongitudinalAcceleration,Slope,Stopped,RouteId,Connection.Id,LaneIndex,BlinkerRight,BlinkerLeft,BrakeLight
118,VEHICLE_UPDATES,19000000000,veh_2,4.4687574437201905,154.07424820484832,52.991587324419,-1.1692909160312792,0.0,8.221008553185863,0.7165063342545182,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
119,VEHICLE_UPDATES,19000000000,veh_0,6.067187692262699,172.88586310678045,52.991337829292014,-1.169125084538564,0.0,38.38455688683875,0.9864077421370894,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
120,VEHICLE_UPDATES,19000000000,veh_1,5.877473838394508,154.07424820484692,52.99147917388707,-1.1692093715840104,0.0,21.44155544496607,0.7234595083864406,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
128,VEHICLE_UPDATES,20000000000,veh_2,5.234554714065692,154.07424820484692,52.9915445032108,-1.1692586292045295,0.0,13.455563267251556,0.7657972703455016,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
129,VEHICLE_UPDATES,20000000000,veh_0,6.049232005247251,235.6167506199912,52.991302538820094,-1.1691903037713425,0.0,44.43378889208601,-0.017955687015448696,0.0,false,3,353659675_1110605740_1110607234,0,false,false,false
130,VEHICLE_UPDATES,20000000000,veh_1,6.723525355802849,154.07424820484692,52.991424172144356,-1.1691679009759794,0.0,28.16508080076892,0.8460515174083412,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
142,VEHICLE_UPDATES,21000000000,veh_2,5.9899539735714855,154.07424820484692,52.99149550245815,-1.1692216831390814,0.0,19.44551724082304,0.7553992595057935,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
143,VEHICLE_UPDATES,21000000000,veh_3,2.5362910338444635,153.93780624850655,52.99163382816867,-1.1693259795416884,0.0,2.5362910338444635,0.5362910338444635,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
144,VEHICLE_UPDATES,21000000000,veh_0,6.857955170085989,241.35127025799093,52.991274397489626,-1.1692811026481371,0.0,51.29174406217199,0.8087231648387387,0.0,false,3,353659675_1110605740_1110607234,0,false,false,false
145,VEHICLE_UPDATES,21000000000,veh_1,4.662745587053244,154.07424820484692,52.991386028584984,-1.1691391412891405,0.0,32.827826387822164,-2.0607797687496046,0.0,false,3,30806029_341336502_1110605740,0,true,false,true
159,VEHICLE_UPDATES,22000000000,veh_2,5.708215058410968,154.07424820484692,52.99144880645721,-1.1691864749175107,0.0,25.153732299234008,-0.28173891516051786,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
160,VEHICLE_UPDATES,22000000000,veh_3,3.2157092810375616,154.07424820484692,52.991607522106506,-1.1693061449399833,0.0,5.752000314882025,0.6794182471930981,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
161,VEHICLE_UPDATES,22000000000,veh_0,7.829093384778463,243.75198133460407,52.991244839201684,-1.1693869110410384,0.0,59.12083744695045,0.9711382146924734,0.0,false,3,95832103_1110607234_1110605919,0,false,false,false
162,VEHICLE_UPDATES,22000000000,veh_1,5.206882298100275,171.0019270598661,52.99134096462634,-1.1691246855373651,0.0,38.03470868592244,0.544136711047031,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
176,VEHICLE_UPDATES,23000000000,veh_2,5.67231939050507,154.07424820484832,52.99140240409046,-1.1691514881744196,0.0,30.826051689739078,-0.03589566790589771,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
177,VEHICLE_UPDATES,23000000000,veh_3,4.014599269838072,154.07424820484692,52.99157468073213,-1.1692813827916928,0.0,9.766599584720097,0.7988899888005108,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
